車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,ソースURL
LC,情報なし,500 Sパッケージ レクサスセーフティーセンス/スロコン,899万円,2021(R03),3.8万km,なし,フロアMTモード付10AT,5000CC,2025-06-17T12:22:17.759746,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Sパッケージ 茶革シート　21インチAW　カーボンルーフ,899万円,2021(R03),3.2万km,なし,フロア10AT,5000CC,2025-06-17T12:22:17.760745,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Sパッケージ 純正21インチAW　マークレビンソン,979.9万円,2021(R03),1.4万km,なし,フロアMTモード付10AT,5000CC,2025-06-17T12:22:17.761742,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500h Lパッケージ 赤革　パノラマ　OP21AW　Dレコ　3眼LED,684万円,2017(H29),1.8万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:22:17.763737,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Sパッケージ 10.3インチメーカーナビ バッ,829.9万円,2018(H30),3万km,なし,フロアMTモード付10AT,5000CC,2025-06-17T12:22:17.764734,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Lパッケージ OGキャリパ ガラスルーフ ブリージーブルー,698万円,2017(H29),6万km,なし,フロアMTモード付10AT,5000CC,2025-06-17T12:22:17.765732,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Sパッケージ 寒冷地仕様/カラーHUD/純正21インチ鍛造AW,818万円,2017(H29),1.3万km,なし,フロアMTモード付10AT,5000CC,2025-06-17T12:22:17.767726,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Sパッケージ TRDエアロ&21アルミRS-R車高調マクレビHUD,879.8万円,2018(H30),3.4万km,なし,フロアMTモード付10AT,5000CC,2025-06-17T12:22:17.769226,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Lパッケージ KUHLコンプリート　KRUISEエアロキット,872万円,2017(H29),2.9万km,なし,フロアMTモード付10AT,5000CC,2025-06-17T12:22:17.770225,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Sパッケージ 衝突軽減/レーダークルーズ/HUD/BSM/ETC,769.9万円,2017(H29),4.6万km,なし,フロア10AT,5000CC,2025-06-17T12:22:17.771224,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500 Sパッケージ ヘッドアップディスプレイ　ETC,896万円,2019(H31),1.2万km,なし,フロアMTモード付10AT,5000CC,2025-06-17T12:22:17.772221,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
LC,情報なし,500h Lパッケージ 黒革 ガラスルーフ OP21インチAW,678.8万円,2017(H29),4.5万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:22:17.774215,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=
