車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
M2クーペ,情報なし,M ステップトロニック タイヤ4本新品 ハイラインP ブラックレザー,781.3万円,2024(R06),0.4万km,なし,フロアMTモード付8AT,3000CC,2025-06-18T23:38:54.896898,2025-06-18,23:38:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S054&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6367794124/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
M2クーペ,情報なし,M ステップトロニック 認定中古車全国保証付黒革 ハイラインPkg,728.8万円,2024(R06),1.3万km,なし,フロアMTモード付8AT,3000CC,2025-06-18T23:38:54.899685,2025-06-18,23:38:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S054&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6170588649/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
M2クーペ,情報なし,M ステップトロニック ハイラインP ハーマン コニャック革 19AW,733.8万円,2024(R06),1.3万km,なし,フロアMTモード付8AT,3000CC,2025-06-18T23:38:54.902383,2025-06-18,23:38:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S054&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6206324838/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
M2クーペ,情報なし,M ステップトロニック ワンオーナー車　ブラックレザー　ACC,860.6万円,2024(R06),0.2万km,なし,フロアMTモード付8AT,3000CC,2025-06-18T23:38:54.905155,2025-06-18,23:38:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S054&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6330435168/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
M2クーペ,情報なし,ベースグレード 黒革/純正ナビ/TV/バックカメラ/クルコン,399.8万円,2018(H30),5.7万km,なし,フロアMTモード付7AT,3000CC,2025-06-18T23:38:54.907891,2025-06-18,23:38:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S054&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6379473469/index.html?TRCD=200002&RESTID=CS210610
M2クーペ,情報なし,コンペティション 純正ナビ バックカメラ シートヒーター,497.8万円,2019(R01),3.5万km,なし,その他MTモード付AT,3000CC,2025-06-18T23:38:54.910682,2025-06-18,23:38:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S054&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6374825417/index.html?TRCD=200002&RESTID=CS210610
M2クーペ,情報なし,M ステップトロニック ハイラインPKG 3Dデザインマフラー,751.7万円,2023(R05),0.7万km,なし,フロアMTモード付8AT,3000CC,2025-06-18T23:38:54.913537,2025-06-18,23:38:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S054&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6384623678/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
M2クーペ,情報なし,3.0 6MT/SR/ハーマン/茶革/アイバッハ/Bカメラ,773.8万円,2023(R05),0.3万km,なし,フロア6MT,3000CC,2025-06-18T23:38:54.916569,2025-06-18,23:38:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S054&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU5855039452/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
M2クーペ,情報なし,M ステップトロニック カーボンルーフ　カーボンファイバートリム,739.2万円,2023(R05),1.2万km,なし,フロアMTモード付8AT,3000CC,2025-06-18T23:38:54.918722,2025-06-18,23:38:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S054&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6159639047/index.html?TRCD=200002&RESTID=CS210610
M2クーペ,情報なし,M ステップトロニック ハイラインパッケージ,811.2万円,2024(R06),0.5万km,なし,フロアMTモード付8AT,3000CC,2025-06-18T23:38:54.921431,2025-06-18,23:38:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S054&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6356566816/index.html?TRCD=200002&RESTID=CS210610
