車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,ソースURL
RC,情報なし,300 Fスポーツ 326Powerエアロ　TWS20インチAW,355万円,2018(H30),3万km,なし,フロアMTモード付8AT,2000CC,2025-06-17T12:22:55.205058,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=
RC,情報なし,300h ナビ Bカメラ 革シート ドラレコ,261.5万円,2015(H27),5.2万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:22:55.207052,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=
RC,情報なし,300h Fスポーツ SR プリクラッシュS RCC 白革 ナビ Bカメラ,429.8万円,2020(R02),2.2万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:22:55.207052,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=
RC,情報なし,300 Fスポーツ 禁煙車 マークレビンソン ムー,424.9万円,2021(R03),5.5万km,なし,フロアMTモード付8AT,2000CC,2025-06-17T12:22:55.209734,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=
RC,情報なし,300 Fスポーツ 後期 1オーナー TRDエアロマフラー 黒革,449.9万円,2021(R03),2.5万km,なし,フロアMTモード付8AT,2000CC,2025-06-17T12:22:55.210783,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=
RC,情報なし,300h Fスポーツ 赤革シート メーカーナビ パドルシフト ETC,234.9万円,2015(H27),10.5万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:22:55.211910,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=
RC,情報なし,300h Fスポーツ プリクラッシュ クリアランスソナー 禁煙車,238.9万円,2015(H27),7.4万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:22:55.212949,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=
RC,情報なし,350 Fスポーツ 純正19AW 黒革　クルコン　3眼LED Bカメラ,289万円,2015(H27),3.4万km,なし,フロアMTモード付8AT,3500CC,2025-06-17T12:22:55.215084,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=
RC,情報なし,300 Fスポーツ 後期 サンルーフ オレンジキャリパー 白革,389.9万円,2019(R01),3.4万km,なし,フロアMTモード付8AT,2000CC,2025-06-17T12:22:55.216125,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=
RC,情報なし,300 バージョンL レクサスセーフティ 純正ナビTV Bカメラ,315.8万円,2018(H30),4万km,なし,フロアMTモード付8AT,2000CC,2025-06-17T12:22:55.217164,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=
RC,情報なし,200t Fスポーツ ムーンルーフ/赤革/純正ナビ/TV/Bカメラ,327.8万円,2017(H29),2.9万km,なし,フロアMTモード付8AT,2000CC,2025-06-17T12:22:55.218708,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=
RC,情報なし,350 Fスポーツ プリクラッシュセーフティシステム,263.9万円,2015(H27),8万km,なし,フロアMTモード付8AT,3500CC,2025-06-17T12:22:55.219798,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=
RC,情報なし,300 Fスポーツ サンルーフ　黒革シート　3眼LEDライト,419万円,2019(R01),2万km,なし,フロアMTモード付8AT,2000CC,2025-06-17T12:22:55.220844,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S015&NINTEI=&CSHOSHO=
